G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 31 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,93,87,1,0,W 1,,False,
2,Fri Nov 2 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,115,86,2,0,W 2,,False,
3,Sat Nov 3 2012,7:00p EST,,Box Score,,New Orleans Hornets,L,,82,89,2,1,L 1,,False,
4,Tue Nov 6 2012,7:00p EST,,Box Score,,Orlando Magic,W,,99,93,3,1,W 1,,False,
5,Thu Nov 8 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,91,97,3,2,L 1,,False,
6,Sat Nov 10 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,87,80,4,2,W 1,,False,
7,Mon Nov 12 2012,7:00p EST,,Box Score,,Boston Celtics,L,,95,101,4,3,L 1,,False,
8,Wed Nov 14 2012,7:00p EST,,Box Score,@,Phoenix Suns,W,OT,112,106,5,3,W 1,,False,
9,Sat Nov 17 2012,6:00p EST,,Box Score,@,Los Angeles Clippers,L,,80,101,5,4,L 1,,False,
10,Sun Nov 18 2012,6:00p EST,,Box Score,@,Portland Trail Blazers,L,,94,102,5,5,L 2,,False,
11,Wed Nov 21 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,89,93,5,6,L 3,,False,
12,Sat Nov 24 2012,8:00p EST,,Box Score,@,Milwaukee Bucks,W,,93,86,6,6,W 1,,False,
13,Mon Nov 26 2012,7:00p EST,,Box Score,,Milwaukee Bucks,L,,92,93,6,7,L 1,,False,
14,Wed Nov 28 2012,7:00p EST,,Box Score,,Dallas Mavericks,W,,101,78,7,7,W 1,,False,
15,Sat Dec 1 2012,7:00p EST,,Box Score,,Philadelphia 76ers,W,,93,88,8,7,W 2,,False,
16,Tue Dec 4 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,76,80,8,8,L 1,,False,
17,Wed Dec 5 2012,8:00p EST,,Box Score,@,Cleveland Cavaliers,W,,95,85,9,8,W 1,,False,
18,Fri Dec 7 2012,7:30p EST,,Box Score,@,Detroit Pistons,W,,108,104,10,8,W 2,,False,
19,Sat Dec 8 2012,7:00p EST,,Box Score,,New York Knicks,W,,93,85,11,8,W 3,,False,
20,Tue Dec 11 2012,8:30p EST,,Box Score,,Los Angeles Clippers,L,,89,94,11,9,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Wed Dec 12 2012,7:30p EST,,Box Score,@,Philadelphia 76ers,W,,96,89,12,9,W 1,,False,
22,Sat Dec 15 2012,7:00p EST,,Box Score,,Brooklyn Nets,W,,83,82,13,9,W 2,,False,
23,Mon Dec 17 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,71,80,13,10,L 1,,False,
24,Tue Dec 18 2012,7:00p EST,,Box Score,,Boston Celtics,W,,100,89,14,10,W 1,,False,
25,Fri Dec 21 2012,7:30p EST,,Box Score,@,New York Knicks,W,,110,106,15,10,W 2,,False,
26,Sat Dec 22 2012,7:00p EST,,Box Score,@,Atlanta Hawks,L,,75,92,15,11,L 1,,False,
27,Tue Dec 25 2012,7:00p EST,,Box Score,,Houston Rockets,L,,97,120,15,12,L 2,,False,
28,Sat Dec 29 2012,7:00p EST,,Box Score,,Washington Wizards,W,,87,77,16,12,W 1,,False,
29,Mon Dec 31 2012,2:00p EST,,Box Score,,Charlotte Bobcats,L,,81,91,16,13,L 1,,False,
30,Wed Jan 2 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,96,94,17,13,W 1,,False,
