G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Tue Oct 30 2012,7:00p EST,,Box Score,,Washington Wizards,W,,94,84,1,0,W 1,,False,
2,Fri Nov 2 2012,7:30p EST,,Box Score,,Chicago Bulls,L,,86,115,1,1,L 1,,False,
3,Sat Nov 3 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,102,105,1,2,L 2,,False,
4,Mon Nov 5 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,108,101,2,2,W 1,,False,
5,Wed Nov 7 2012,7:30p EST,,Box Score,@,Golden State Warriors,L,,96,106,2,3,L 1,,False,
6,Fri Nov 9 2012,7:00p EST,,Box Score,@,Phoenix Suns,L,,105,107,2,4,L 2,,False,
7,Sun Nov 11 2012,6:00p EST,,Box Score,@,Oklahoma City Thunder,L,,91,106,2,5,L 3,,False,
8,Tue Nov 13 2012,7:30p EST,,Box Score,@,Brooklyn Nets,L,,101,114,2,6,L 4,,False,
9,Sat Nov 17 2012,7:30p EST,,Box Score,,Dallas Mavericks,L,,95,103,2,7,L 5,,False,
10,Sun Nov 18 2012,6:00p EST,,Box Score,@,Philadelphia 76ers,L,,79,86,2,8,L 6,,False,
11,Wed Nov 21 2012,7:00p EST,,Box Score,,Philadelphia 76ers,W,,92,83,3,8,W 1,,False,
12,Fri Nov 23 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,104,108,3,9,L 1,,False,
13,Sat Nov 24 2012,7:30p EST,,Box Score,@,Miami Heat,L,,108,110,3,10,L 2,,False,
14,Mon Nov 26 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,78,84,3,11,L 3,,False,
15,Tue Nov 27 2012,7:00p EST,,Box Score,,Phoenix Suns,L,,78,91,3,12,L 4,,False,
16,Fri Nov 30 2012,7:30p EST,,Box Score,@,Atlanta Hawks,W,,113,111,4,12,W 1,,False,
17,Sat Dec 1 2012,7:30p EST,,Box Score,,Portland Trail Blazers,L,2OT,117,118,4,13,L 1,,False,
18,Mon Dec 3 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,79,89,4,14,L 2,,False,
19,Wed Dec 5 2012,8:00p EST,,Box Score,,Chicago Bulls,L,,85,95,4,15,L 3,,False,
20,Fri Dec 7 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,73,91,4,16,L 4,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sat Dec 8 2012,7:30p EST,,Box Score,,Detroit Pistons,L,,97,104,4,17,L 5,,False,
22,Tue Dec 11 2012,7:00p EST,,Box Score,,Los Angeles Lakers,W,,100,94,5,17,W 1,,False,
23,Wed Dec 12 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,81,96,5,18,L 1,,False,
24,Fri Dec 14 2012,7:30p EST,,Box Score,,Milwaukee Bucks,L,,86,90,5,19,L 2,,False,
25,Sat Dec 15 2012,7:30p EST,,Box Score,@,New York Knicks,L,,102,103,5,20,L 3,,False,
26,Tue Dec 18 2012,7:00p EST,,Box Score,,Toronto Raptors,L,,99,113,5,21,L 4,,False,
27,Wed Dec 19 2012,7:30p EST,,Box Score,@,Boston Celtics,L,,91,103,5,22,L 5,,False,
28,Fri Dec 21 2012,7:30p EST,,Box Score,,Indiana Pacers,L,,89,99,5,23,L 6,,False,
29,Sat Dec 22 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,94,82,6,23,W 1,,False,
30,Wed Dec 26 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,87,84,7,23,W 2,,False,
31,Fri Dec 28 2012,7:30p EST,,Box Score,,Atlanta Hawks,L,,94,102,7,24,L 1,,False,
32,Sat Dec 29 2012,7:30p EST,,Box Score,@,Brooklyn Nets,L,,100,103,7,25,L 2,,False,
33,Wed Jan 2 2013,7:00p EST,,Box Score,,Sacramento Kings,L,,94,97,7,26,L 3,,False,
34,Fri Jan 4 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,106,104,8,26,W 1,,False,
35,Sat Jan 5 2013,7:30p EST,,Box Score,,Houston Rockets,L,,104,112,8,27,L 1,,False,
36,Mon Jan 7 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,92,118,8,28,L 2,,False,
37,Wed Jan 9 2013,7:00p EST,,Box Score,,Atlanta Hawks,W,,99,83,9,28,W 1,,False,
38,Fri Jan 11 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,91,98,9,29,L 1,,False,
39,Sun Jan 13 2013,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,93,113,9,30,L 2,,False,
40,Mon Jan 14 2013,7:00p EST,,Box Score,@,Sacramento Kings,L,,118,124,9,31,L 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Wed Jan 16 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,93,88,10,31,W 1,,False,
42,Sat Jan 19 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,98,109,10,32,L 1,,False,
43,Tue Jan 22 2013,7:00p EST,,Box Score,,Boston Celtics,W,,95,90,11,32,W 1,,False,
44,Fri Jan 25 2013,7:30p EST,,Box Score,,Milwaukee Bucks,W,,113,108,12,32,W 2,,False,
45,Sat Jan 26 2013,7:00p EST,,Box Score,@,Toronto Raptors,W,,99,98,13,32,W 3,,False,
46,Tue Jan 29 2013,7:00p EST,,Box Score,,Golden State Warriors,L,,95,108,13,33,L 1,,False,
47,Fri Feb 1 2013,7:30p EST,,Box Score,@,Detroit Pistons,L,,99,117,13,34,L 2,,False,
48,Sat Feb 2 2013,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,115,110,14,34,W 1,,False,
49,Wed Feb 6 2013,7:00p EST,,Box Score,,Charlotte Bobcats,W,,122,95,15,34,W 2,,False,
50,Fri Feb 8 2013,7:30p EST,,Box Score,,Orlando Magic,W,,119,108,16,34,W 3,,False,
51,Sat Feb 9 2013,7:30p EST,,Box Score,,Denver Nuggets,L,,103,111,16,35,L 1,,False,
52,Mon Feb 11 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,92,100,16,36,L 2,,False,
53,Wed Feb 13 2013,7:00p EST,,Box Score,,San Antonio Spurs,L,,95,96,16,37,L 3,,False,
54,Wed Feb 20 2013,8:00p EST,,Box Score,,New Orleans Hornets,W,,105,100,17,37,W 1,,False,
55,Sat Feb 23 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,118,94,18,37,W 2,,False,
56,Sun Feb 24 2013,6:00p EST,,Box Score,@,Miami Heat,L,,105,109,18,38,L 1,,False,
57,Tue Feb 26 2013,7:00p EST,,Box Score,@,Chicago Bulls,W,,101,98,19,38,W 1,,False,
58,Wed Feb 27 2013,7:00p EST,,Box Score,,Toronto Raptors,W,,103,92,20,38,W 2,,False,
59,Fri Mar 1 2013,7:30p EST,,Box Score,,Los Angeles Clippers,L,,89,105,20,39,L 1,,False,
60,Mon Mar 4 2013,7:00p EST,,Box Score,,New York Knicks,L,,97,102,20,40,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Wed Mar 6 2013,7:00p EST,,Box Score,,Utah Jazz,W,,104,101,21,40,W 1,,False,
62,Fri Mar 8 2013,7:30p EST,,Box Score,,Memphis Grizzlies,L,,92,103,21,41,L 1,,False,
63,Sun Mar 10 2013,6:00p EST,,Box Score,@,Toronto Raptors,L,,96,100,21,42,L 2,,False,
64,Tue Mar 12 2013,7:00p EST,,Box Score,,Washington Wizards,W,,95,90,22,42,W 1,,False,
65,Fri Mar 15 2013,7:30p EST,,Box Score,@,Dallas Mavericks,L,,86,96,22,43,L 1,,False,
66,Sat Mar 16 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,113,119,22,44,L 2,,False,
67,Mon Mar 18 2013,7:00p EST,,Box Score,,Indiana Pacers,L,,90,111,22,45,L 3,,False,
68,Wed Mar 20 2013,7:00p EST,,Box Score,,Miami Heat,L,,95,98,22,46,L 4,,False,
