G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 31 2012,7:30p EST,,Box Score,@,Detroit Pistons,W,,105,96,1,0,W 1,,False,
2,Fri Nov 2 2012,7:30p EST,,Box Score,@,Atlanta Hawks,W,,109,102,2,0,W 2,,False,
3,Sat Nov 3 2012,7:00p EST,,Box Score,,Portland Trail Blazers,L,OT,85,95,2,1,L 1,,False,
4,Wed Nov 7 2012,7:00p EST,,Box Score,,Denver Nuggets,L,,87,93,2,2,L 2,,False,
5,Fri Nov 9 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,85,93,2,3,L 3,,False,
6,Sat Nov 10 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,96,82,3,3,W 1,,False,
7,Mon Nov 12 2012,7:00p EST,,Box Score,,Miami Heat,L,,110,113,3,4,L 1,,False,
8,Wed Nov 14 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,,100,96,4,4,W 1,,False,
9,Fri Nov 16 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,L,OT,117,119,4,5,L 1,,False,
10,Sun Nov 18 2012,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,108,119,4,6,L 2,,False,
11,Mon Nov 19 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,91,102,4,7,L 3,,False,
12,Wed Nov 21 2012,7:00p EST,,Box Score,,Chicago Bulls,W,,93,89,5,7,W 1,,False,
13,Fri Nov 23 2012,7:00p EST,,Box Score,,New York Knicks,W,,131,103,6,7,W 2,,False,
14,Tue Nov 27 2012,7:00p EST,,Box Score,,Toronto Raptors,W,,117,101,7,7,W 3,,False,
15,Wed Nov 28 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,98,120,7,8,L 1,,False,
16,Sat Dec 1 2012,7:00p EST,,Box Score,,Utah Jazz,W,,124,116,8,8,W 1,,False,
17,Tue Dec 4 2012,7:00p EST,,Box Score,,Los Angeles Lakers,W,,107,105,9,8,W 2,,False,
18,Fri Dec 7 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,92,114,9,9,L 1,,False,
19,Sat Dec 8 2012,7:00p EST,,Box Score,,Dallas Mavericks,L,,109,116,9,10,L 2,,False,
20,Mon Dec 10 2012,7:00p EST,,Box Score,,San Antonio Spurs,L,OT,126,134,9,11,L 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Wed Dec 12 2012,7:00p EST,,Box Score,,Washington Wizards,W,,99,93,10,11,W 1,,False,
22,Fri Dec 14 2012,7:00p EST,,Box Score,,Boston Celtics,W,,101,89,11,11,W 2,,False,
23,Sun Dec 16 2012,1:00p EST,,Box Score,@,Toronto Raptors,L,,96,103,11,12,L 1,,False,
24,Mon Dec 17 2012,7:30p EST,,Box Score,@,New York Knicks,W,,109,96,12,12,W 1,,False,
25,Wed Dec 19 2012,7:00p EST,,Box Score,,Philadelphia 76ers,W,,125,103,13,12,W 2,,False,
26,Sat Dec 22 2012,7:00p EST,,Box Score,,Memphis Grizzlies,W,,121,96,14,12,W 3,,False,
27,Tue Dec 25 2012,7:00p EST,,Box Score,@,Chicago Bulls,W,,120,97,15,12,W 4,,False,
28,Wed Dec 26 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,87,84,16,12,W 5,,False,
29,Fri Dec 28 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,116,122,16,13,L 1,,False,
30,Sat Dec 29 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,94,124,16,14,L 2,,False,
31,Mon Dec 31 2012,6:00p EST,,Box Score,,Atlanta Hawks,W,,123,104,17,14,W 1,,False,
32,Wed Jan 2 2013,7:00p EST,,Box Score,,New Orleans Hornets,W,,104,92,18,14,W 2,,False,
33,Fri Jan 4 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,115,101,19,14,W 3,,False,
34,Sat Jan 5 2013,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,112,104,20,14,W 4,,False,
35,Tue Jan 8 2013,7:00p EST,,Box Score,,Los Angeles Lakers,W,,125,112,21,14,W 5,,False,
36,Wed Jan 9 2013,7:00p EST,,Box Score,@,New Orleans Hornets,L,,79,88,21,15,L 1,,False,
37,Fri Jan 11 2013,7:30p EST,,Box Score,@,Boston Celtics,L,,91,103,21,16,L 2,,False,
