G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Tue Oct 30 2012,7:30p EST,,Box Score,,Dallas Mavericks,L,,91,99,0,1,L 1,,False,
2,Wed Oct 31 2012,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,106,116,0,2,L 2,,False,
3,Fri Nov 2 2012,7:30p EST,,Box Score,,Los Angeles Clippers,L,,95,105,0,3,L 3,,False,
4,Sun Nov 4 2012,6:30p EST,,Box Score,,Detroit Pistons,W,,108,79,1,3,W 1,,False,
5,Wed Nov 7 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,86,95,1,4,L 1,,False,
6,Fri Nov 9 2012,7:30p EST,,Box Score,,Golden State Warriors,W,,101,77,2,4,W 1,,False,
7,Sun Nov 11 2012,6:30p EST,,Box Score,,Sacramento Kings,W,,103,90,3,4,W 2,,False,
8,Tue Nov 13 2012,7:30p EST,,Box Score,,San Antonio Spurs,L,,82,84,3,5,L 1,,False,
9,Fri Nov 16 2012,7:30p EST,,Box Score,,Phoenix Suns,W,,114,102,4,5,W 1,,False,
10,Sun Nov 18 2012,6:30p EST,,Box Score,,Houston Rockets,W,,119,108,5,5,W 2,,False,
11,Tue Nov 20 2012,7:30p EST,,Box Score,,Brooklyn Nets,W,,95,90,6,5,W 3,,False,
12,Wed Nov 21 2012,7:00p EST,,Box Score,@,Sacramento Kings,L,,97,113,6,6,L 1,,False,
13,Fri Nov 23 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,98,106,6,7,L 2,,False,
14,Sat Nov 24 2012,7:30p EST,,Box Score,@,Dallas Mavericks,W,,115,89,7,7,W 1,,False,
15,Tue Nov 27 2012,7:30p EST,,Box Score,,Indiana Pacers,L,,77,79,7,8,L 1,,False,
16,Fri Nov 30 2012,7:30p EST,,Box Score,,Denver Nuggets,W,,122,103,8,8,W 1,,False,
17,Sun Dec 2 2012,6:30p EST,,Box Score,,Orlando Magic,L,,103,113,8,9,L 1,,False,
18,Tue Dec 4 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,105,107,8,10,L 2,,False,
19,Wed Dec 5 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,103,87,9,10,W 1,,False,
20,Fri Dec 7 2012,8:30p EST,,Box Score,@,Oklahoma City Thunder,L,,108,114,9,11,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sun Dec 9 2012,6:30p EST,,Box Score,,Utah Jazz,L,,110,117,9,12,L 2,,False,
22,Tue Dec 11 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,94,100,9,13,L 3,,False,
23,Thu Dec 13 2012,8:00p EST,,Box Score,@,New York Knicks,L,,107,116,9,14,L 4,,False,
24,Fri Dec 14 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,102,96,10,14,W 1,,False,
25,Sun Dec 16 2012,6:00p EST,,Box Score,@,Philadelphia 76ers,W,,111,98,11,14,W 2,,False,
26,Tue Dec 18 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,101,100,12,14,W 3,,False,
27,Sat Dec 22 2012,7:30p EST,,Box Score,@,Golden State Warriors,W,OT,118,115,13,14,W 4,,False,
