G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 31 2012,7:00p EST,,Box Score,,Denver Nuggets,W,,84,75,1,0,W 1,,False,
2,Sun Nov 4 2012,12:00p EST,,Box Score,@,New York Knicks,L,,84,100,1,1,L 1,,False,
3,Mon Nov 5 2012,7:00p EST,,Box Score,,New York Knicks,L,,88,110,1,2,L 2,,False,
4,Wed Nov 7 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,77,62,2,2,W 1,,False,
5,Fri Nov 9 2012,7:30p EST,,Box Score,@,Boston Celtics,W,,106,100,3,2,W 2,,False,
6,Sat Nov 10 2012,7:00p EST,,Box Score,@,Toronto Raptors,W,,93,83,4,2,W 3,,False,
7,Mon Nov 12 2012,7:00p EST,,Box Score,,Milwaukee Bucks,L,,96,105,4,3,L 1,,False,
8,Wed Nov 14 2012,7:00p EST,,Box Score,,Detroit Pistons,L,,76,94,4,4,L 2,,False,
9,Fri Nov 16 2012,7:00p EST,,Box Score,,Utah Jazz,W,,99,93,5,4,W 1,,False,
10,Sun Nov 18 2012,6:00p EST,,Box Score,,Cleveland Cavaliers,W,,86,79,6,4,W 2,,False,
11,Tue Nov 20 2012,7:00p EST,,Box Score,,Toronto Raptors,W,,106,98,7,4,W 3,,False,
12,Wed Nov 21 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,83,92,7,5,L 1,,False,
13,Sat Nov 24 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,L,OT,109,116,7,6,L 2,,False,
14,Sun Nov 25 2012,6:00p EST,,Box Score,,Phoenix Suns,W,,104,101,8,6,W 1,,False,
15,Tue Nov 27 2012,7:00p EST,,Box Score,,Dallas Mavericks,W,,100,98,9,6,W 2,,False,
16,Fri Nov 30 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,104,98,10,6,W 3,,False,
17,Sat Dec 1 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,88,93,10,7,L 1,,False,
18,Tue Dec 4 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,88,105,10,8,L 2,,False,
19,Fri Dec 7 2012,7:00p EST,,Box Score,,Boston Celtics,W,OT,95,94,11,8,W 1,,False,
20,Sat Dec 8 2012,7:30p EST,,Box Score,@,Boston Celtics,L,,79,92,11,9,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
