G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Tue Oct 30 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,84,94,0,1,L 1,,False,
2,Sat Nov 3 2012,7:00p EST,,Box Score,,Boston Celtics,L,,86,89,0,2,L 2,,False,
3,Wed Nov 7 2012,7:30p EST,,Box Score,@,Boston Celtics,L,OT,94,100,0,3,L 3,,False,
4,Fri Nov 9 2012,7:00p EST,,Box Score,,Milwaukee Bucks,L,,91,101,0,4,L 4,,False,
5,Sat Nov 10 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,85,89,0,5,L 5,,False,
6,Tue Nov 13 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,76,92,0,6,L 6,,False,
7,Wed Nov 14 2012,7:30p EST,,Box Score,@,Dallas Mavericks,L,,101,107,0,7,L 7,,False,
8,Sat Nov 17 2012,7:00p EST,,Box Score,,Utah Jazz,L,,76,83,0,8,L 8,,False,
9,Mon Nov 19 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,89,96,0,9,L 9,,False,
10,Wed Nov 21 2012,7:30p EST,,Box Score,@,Atlanta Hawks,L,OT,100,101,0,10,L 10,,False,
11,Sat Nov 24 2012,7:00p EST,,Box Score,,Charlotte Bobcats,L,2OT,106,108,0,11,L 11,,False,
12,Mon Nov 26 2012,7:00p EST,,Box Score,,San Antonio Spurs,L,,92,118,0,12,L 12,,False,
13,Wed Nov 28 2012,7:00p EST,,Box Score,,Portland Trail Blazers,W,,84,82,1,12,W 1,,False,
14,Fri Nov 30 2012,7:30p EST,,Box Score,@,New York Knicks,L,,87,108,1,13,L 1,,False,
15,Tue Dec 4 2012,7:00p EST,,Box Score,,Miami Heat,W,,105,101,2,13,W 1,,False,
16,Fri Dec 7 2012,7:30p EST,,Box Score,@,Atlanta Hawks,L,,95,104,2,14,L 1,,False,
17,Sat Dec 8 2012,7:00p EST,,Box Score,,Golden State Warriors,L,,97,101,2,15,L 2,,False,
18,Tue Dec 11 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,77,70,3,15,W 1,,False,
19,Wed Dec 12 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,93,99,3,16,L 1,,False,
20,Fri Dec 14 2012,7:00p EST,,Box Score,,Los Angeles Lakers,L,,96,102,3,17,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sat Dec 15 2012,7:30p EST,,Box Score,@,Miami Heat,L,,72,102,3,18,L 3,,False,
22,Tue Dec 18 2012,7:00p EST,,Box Score,,Atlanta Hawks,L,OT,95,100,3,19,L 4,,False,
23,Wed Dec 19 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,83,90,3,20,L 5,,False,
24,Fri Dec 21 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,68,100,3,21,L 6,,False,
25,Sat Dec 22 2012,7:00p EST,,Box Score,,Detroit Pistons,L,,87,96,3,22,L 7,,False,
26,Wed Dec 26 2012,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,84,87,3,23,L 8,,False,
27,Fri Dec 28 2012,7:00p EST,,Box Score,,Orlando Magic,W,,105,97,4,23,W 1,,False,
28,Sat Dec 29 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,77,87,4,24,L 1,,False,
29,Tue Jan 1 2013,6:00p EST,,Box Score,,Dallas Mavericks,L,,94,103,4,25,L 2,,False,
30,Wed Jan 2 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,81,89,4,26,L 3,,False,
31,Fri Jan 4 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,2OT,113,115,4,27,L 4,,False,
32,Sun Jan 6 2013,6:00p EST,,Box Score,@,Miami Heat,L,,71,99,4,28,L 5,,False,
