G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 30 2013,,,Box Score,@,Utah Jazz,W,,101,98,1,0,W 1,,False,
2,Fri Nov 1 2013,,,Box Score,@,Minnesota Timberwolves,L,,81,100,1,1,L 1,,False,
3,Sun Nov 3 2013,,,Box Score,,Phoenix Suns,W,,103,96,2,1,W 1,,False,
4,Wed Nov 6 2013,,,Box Score,,Dallas Mavericks,W,,107,93,3,1,W 2,,False,
5,Fri Nov 8 2013,,,Box Score,@,Detroit Pistons,W,,119,110,4,1,W 3,,False,
6,Sun Nov 10 2013,,,Box Score,,Washington Wizards,W,OT,106,105,5,1,W 4,,False,
7,Wed Nov 13 2013,,,Box Score,@,Los Angeles Clippers,L,,103,111,5,2,L 1,,False,
8,Thu Nov 14 2013,,,Box Score,@,Golden State Warriors,L,,115,116,5,3,L 2,,False,
9,Sat Nov 16 2013,,,Box Score,@,Milwaukee Bucks,W,,92,79,6,3,W 1,,False,
10,Mon Nov 18 2013,,,Box Score,,Denver Nuggets,W,,115,113,7,3,W 2,,False,
11,Thu Nov 21 2013,,,Box Score,,Los Angeles Clippers,W,,105,91,8,3,W 3,,False,
12,Sun Nov 24 2013,,,Box Score,,Utah Jazz,W,,95,73,9,3,W 4,,False,
13,Wed Nov 27 2013,,,Box Score,,San Antonio Spurs,W,,94,88,10,3,W 5,,False,
14,Fri Nov 29 2013,,,Box Score,,Golden State Warriors,W,OT,113,112,11,3,W 6,,False,
15,Sun Dec 1 2013,,,Box Score,,Minnesota Timberwolves,W,,113,103,12,3,W 7,,False,
16,Tue Dec 3 2013,,,Box Score,@,Sacramento Kings,W,,97,95,13,3,W 8,,False,
17,Wed Dec 4 2013,,,Box Score,@,Portland Trail Blazers,L,,104,111,13,4,L 1,,False,
18,Fri Dec 6 2013,,,Box Score,@,New Orleans Pelicans,W,,109,95,14,4,W 1,,False,
19,Sun Dec 8 2013,,,Box Score,,Indiana Pacers,W,,118,94,15,4,W 2,,False,
20,Tue Dec 10 2013,,,Box Score,@,Atlanta Hawks,W,,101,92,16,4,W 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Wed Dec 11 2013,,,Box Score,@,Memphis Grizzlies,W,,116,100,17,4,W 4,,False,
22,Fri Dec 13 2013,,,Box Score,,Los Angeles Lakers,W,,122,97,18,4,W 5,,False,
23,Sun Dec 15 2013,,,Box Score,,Orlando Magic,W,,101,98,19,4,W 6,,False,
24,Tue Dec 17 2013,,,Box Score,@,Denver Nuggets,W,,105,93,20,4,W 7,,False,
25,Thu Dec 19 2013,,,Box Score,,Chicago Bulls,W,,107,95,21,4,W 8,,False,
26,Sat Dec 21 2013,,,Box Score,@,San Antonio Spurs,W,,113,100,22,4,W 9,,False,
27,Sun Dec 22 2013,,,Box Score,,Toronto Raptors,L,,98,104,22,5,L 1,,False,
28,Wed Dec 25 2013,,,Box Score,@,New York Knicks,W,,123,94,23,5,W 1,,False,
29,Fri Dec 27 2013,,,Box Score,@,Charlotte Bobcats,W,,89,85,24,5,W 2,,False,
30,Sun Dec 29 2013,,,Box Score,,Houston Rockets,W,,117,86,25,5,W 3,,False,
31,Tue Dec 31 2013,,,Box Score,,Portland Trail Blazers,L,,94,98,25,6,L 1,,False,
32,Thu Jan 2 2014,,,Box Score,,Brooklyn Nets,L,,93,95,25,7,L 2,,False,
33,Sat Jan 4 2014,,,Box Score,@,Minnesota Timberwolves,W,,115,111,26,7,W 1,,False,
34,Sun Jan 5 2014,,,Box Score,,Boston Celtics,W,,119,96,27,7,W 2,,False,
35,Tue Jan 7 2014,,,Box Score,@,Utah Jazz,L,,101,112,27,8,L 1,,False,
36,Thu Jan 9 2014,,,Box Score,@,Denver Nuggets,L,,88,101,27,9,L 2,,False,
37,Sat Jan 11 2014,,,Box Score,,Milwaukee Bucks,W,,101,85,28,9,W 1,,False,
38,Tue Jan 14 2014,,,Box Score,@,Memphis Grizzlies,L,,87,90,28,10,L 1,,False,
39,Thu Jan 16 2014,,,Box Score,@,Houston Rockets,W,,104,92,29,10,W 1,,False,
40,Fri Jan 17 2014,,,Box Score,,Golden State Warriors,W,,127,121,30,10,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Sun Jan 19 2014,,,Box Score,,Sacramento Kings,W,,108,93,31,10,W 3,,False,
42,Tue Jan 21 2014,,,Box Score,,Portland Trail Blazers,W,,105,97,32,10,W 4,,False,
43,Wed Jan 22 2014,,,Box Score,@,San Antonio Spurs,W,,111,105,33,10,W 5,,False,
44,Fri Jan 24 2014,,,Box Score,@,Boston Celtics,W,,101,83,34,10,W 6,,False,
45,Sat Jan 25 2014,,,Box Score,@,Philadelphia 76ers,W,,103,91,35,10,W 7,,False,
46,Mon Jan 27 2014,,,Box Score,,Atlanta Hawks,W,,111,109,36,10,W 8,,False,
47,Wed Jan 29 2014,,,Box Score,@,Miami Heat,W,,112,95,37,10,W 9,,False,
48,Fri Jan 31 2014,,,Box Score,@,Brooklyn Nets,W,,120,95,38,10,W 10,,False,
49,Sat Feb 1 2014,,,Box Score,@,Washington Wizards,L,,81,96,38,11,L 1,,False,
50,Mon Feb 3 2014,,,Box Score,,Memphis Grizzlies,W,,86,77,39,11,W 1,,False,
51,Wed Feb 5 2014,,,Box Score,,Minnesota Timberwolves,W,,106,97,40,11,W 2,,False,
52,Fri Feb 7 2014,,,Box Score,@,Orlando Magic,L,,102,103,40,12,L 1,,False,
53,Sun Feb 9 2014,,,Box Score,,New York Knicks,W,,112,100,41,12,W 1,,False,
54,Tue Feb 11 2014,,,Box Score,@,Portland Trail Blazers,W,,98,95,42,12,W 2,,False,
55,Thu Feb 13 2014,,,Box Score,@,Los Angeles Lakers,W,,107,103,43,12,W 3,,False,
56,Thu Feb 20 2014,,,Box Score,,Miami Heat,L,,81,103,43,13,L 1,,False,
57,Sun Feb 23 2014,,,Box Score,,Los Angeles Clippers,L,,117,125,43,14,L 2,,False,
58,Wed Feb 26 2014,,,Box Score,,Cleveland Cavaliers,L,,104,114,43,15,L 3,,False,
59,Fri Feb 28 2014,,,Box Score,,Memphis Grizzlies,W,,113,107,44,15,W 1,,False,
60,Sun Mar 2 2014,,,Box Score,,Charlotte Bobcats,W,,116,99,45,15,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Tue Mar 4 2014,,,Box Score,,Philadelphia 76ers,W,,125,92,46,15,W 3,,False,
62,Thu Mar 6 2014,,,Box Score,@,Phoenix Suns,L,,122,128,46,16,L 1,,False,
63,Sun Mar 9 2014,,,Box Score,@,Los Angeles Lakers,L,,110,114,46,17,L 2,,False,
64,Tue Mar 11 2014,,,Box Score,,Houston Rockets,W,,106,98,47,17,W 1,,False,
65,Thu Mar 13 2014,,,Box Score,,Los Angeles Lakers,W,,131,102,48,17,W 2,,False,
66,Sun Mar 16 2014,,,Box Score,,Dallas Mavericks,L,,86,109,48,18,L 1,,False,
67,Mon Mar 17 2014,,,Box Score,@,Chicago Bulls,W,,97,85,49,18,W 1,,False,
68,Thu Mar 20 2014,,,Box Score,@,Cleveland Cavaliers,W,,102,95,50,18,W 2,,False,
69,Fri Mar 21 2014,,,Box Score,@,Toronto Raptors,W,2OT,119,118,51,18,W 3,,False,
70,Mon Mar 24 2014,,,Box Score,,Denver Nuggets,W,,117,96,52,18,W 4,,False,
71,Tue Mar 25 2014,,,Box Score,@,Dallas Mavericks,L,OT,119,128,52,19,L 1,,False,
72,Fri Mar 28 2014,,,Box Score,,Sacramento Kings,W,,94,81,53,19,W 1,,False,
73,Sun Mar 30 2014,,,Box Score,,Utah Jazz,W,,116,96,54,19,W 2,,False,
74,Thu Apr 3 2014,,,Box Score,,San Antonio Spurs,W,,106,94,55,19,W 3,,False,
75,Fri Apr 4 2014,,,Box Score,@,Houston Rockets,L,,107,111,55,20,L 1,,False,
76,Sun Apr 6 2014,,,Box Score,@,Phoenix Suns,L,,115,122,55,21,L 2,,False,
77,Tue Apr 8 2014,,,Box Score,@,Sacramento Kings,W,,107,92,56,21,W 1,,False,
78,Wed Apr 9 2014,,,Box Score,@,Los Angeles Clippers,W,,107,101,57,21,W 2,,False,
79,Fri Apr 11 2014,,,Box Score,,New Orleans Pelicans,W,,116,94,58,21,W 3,,False,
